freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.429e+02,1.234e+01,5.962e+00,2.612e+02
1.5,1.491e+02,2.533e+01,2.197e+01,1.964e+02
3.1,2.554e+01,2.338e+01,2.525e+01,7.417e+01
4.6,3.231e+02,2.545e+01,2.677e+01,3.753e+02
6.1,1.113e+03,2.555e+01,2.722e+01,1.166e+03
7.7,1.832e+03,2.782e+01,2.768e+01,1.888e+03
9.2,2.664e+03,3.045e+01,2.995e+01,2.724e+03
10.7,3.539e+03,2.739e+01,2.767e+01,3.594e+03
12.3,4.602e+03,2.631e+01,2.580e+01,4.654e+03
13.8,6.012e+03,2.510e+01,2.515e+01,6.063e+03
15.4,7.839e+03,2.722e+01,3.081e+01,7.897e+03
16.9,9.806e+03,2.865e+01,4.555e+01,9.880e+03
18.4,1.214e+04,3.252e+01,5.796e+01,1.223e+04
20.0,1.491e+04,3.945e+01,6.049e+01,1.501e+04
21.5,1.749e+04,3.775e+01,5.067e+01,1.758e+04
23.0,2.085e+04,3.490e+01,4.719e+01,2.093e+04
24.6,2.508e+04,3.565e+01,4.444e+01,2.516e+04
26.1,3.054e+04,3.388e+01,4.639e+01,3.062e+04
27.6,3.715e+04,3.688e+01,4.406e+01,3.723e+04
29.2,4.434e+04,4.249e+01,4.232e+01,4.443e+04
30.7,5.550e+04,4.720e+01,5.132e+01,5.560e+04
32.2,6.892e+04,5.282e+01,5.942e+01,6.903e+04
33.8,8.309e+04,6.317e+01,5.593e+01,8.321e+04
35.3,1.079e+05,6.067e+01,7.447e+01,1.080e+05
36.9,1.484e+05,5.528e+01,1.543e+02,1.486e+05
38.4,2.015e+05,2.075e+02,5.193e+02,2.023e+05
39.9,2.400e+05,1.037e+03,1.491e+03,2.425e+05
41.5,2.344e+05,2.590e+03,2.400e+03,2.394e+05
43.0,2.349e+05,4.070e+03,2.374e+03,2.413e+05
44.5,2.279e+05,4.466e+03,1.873e+03,2.342e+05
46.1,2.011e+05,3.643e+03,1.418e+03,2.062e+05
47.6,1.874e+05,2.772e+03,1.061e+03,1.912e+05
49.1,1.767e+05,2.736e+03,1.123e+03,1.806e+05
50.7,1.598e+05,2.723e+03,1.179e+03,1.637e+05
52.2,1.378e+05,2.187e+03,1.082e+03,1.410e+05
53.7,1.181e+05,2.170e+03,1.349e+03,1.216e+05
55.3,1.002e+05,2.291e+03,1.695e+03,1.042e+05
56.8,7.982e+04,2.386e+03,1.996e+03,8.420e+04
58.4,6.107e+04,2.563e+03,2.190e+03,6.582e+04
59.9,5.040e+04,3.735e+03,2.438e+03,5.657e+04
61.4,5.659e+04,7.223e+03,3.109e+03,6.692e+04
63.0,7.841e+04,1.341e+04,4.210e+03,9.603e+04
64.5,9.867e+04,1.931e+04,4.881e+03,1.229e+05
66.0,1.124e+05,2.527e+04,5.153e+03,1.428e+05
67.6,1.202e+05,2.983e+04,4.993e+03,1.550e+05
69.1,1.188e+05,3.374e+04,4.587e+03,1.572e+05
70.6,1.148e+05,3.728e+04,4.080e+03,1.562e+05
72.2,1.105e+05,3.799e+04,3.680e+03,1.521e+05
73.7,1.123e+05,3.536e+04,3.688e+03,1.514e+05
75.2,1.231e+05,3.131e+04,3.798e+03,1.582e+05
76.8,1.248e+05,2.671e+04,3.653e+03,1.552e+05
78.3,1.214e+05,2.188e+04,3.258e+03,1.466e+05
79.9,1.138e+05,1.996e+04,2.534e+03,1.363e+05
81.4,9.765e+04,1.741e+04,1.577e+03,1.166e+05
82.9,8.512e+04,1.547e+04,9.773e+02,1.016e+05
84.5,7.579e+04,1.415e+04,5.811e+02,9.052e+04
86.0,6.711e+04,1.293e+04,3.916e+02,8.043e+04
87.5,5.836e+04,1.180e+04,4.071e+02,7.057e+04
89.1,5.036e+04,1.184e+04,5.246e+02,6.272e+04
90.6,4.361e+04,1.240e+04,7.266e+02,5.674e+04
92.1,3.568e+04,1.225e+04,7.300e+02,4.866e+04
93.7,2.746e+04,1.153e+04,7.032e+02,3.970e+04
95.2,2.499e+04,1.092e+04,9.885e+02,3.690e+04
96.7,2.230e+04,9.292e+03,1.079e+03,3.267e+04
98.3,1.867e+04,6.211e+03,9.456e+02,2.583e+04
99.8,1.734e+04,3.250e+03,5.733e+02,2.116e+04
101.4,1.511e+04,3.497e+03,5.391e+02,1.915e+04
102.9,1.565e+04,2.897e+03,5.188e+02,1.907e+04
104.4,1.871e+04,2.117e+03,4.334e+02,2.126e+04
106.0,2.286e+04,1.630e+03,2.979e+02,2.479e+04
107.5,2.733e+04,1.445e+03,1.627e+02,2.894e+04
109.0,3.045e+04,1.023e+03,8.945e+01,3.156e+04
110.6,3.074e+04,7.233e+02,7.401e+01,3.154e+04
112.1,2.785e+04,8.000e+02,1.009e+02,2.875e+04
113.6,3.369e+04,1.891e+03,2.073e+02,3.579e+04
115.2,4.125e+04,4.190e+03,3.002e+02,4.574e+04
116.7,4.259e+04,5.387e+03,3.057e+02,4.828e+04
118.2,3.992e+04,6.366e+03,2.669e+02,4.655e+04
119.8,3.510e+04,5.799e+03,2.288e+02,4.113e+04
121.3,2.813e+04,3.632e+03,1.806e+02,3.195e+04
122.9,2.383e+04,2.393e+03,1.541e+02,2.638e+04
124.4,2.291e+04,2.313e+03,1.911e+02,2.541e+04
125.9,2.504e+04,2.708e+03,2.132e+02,2.796e+04
127.5,2.758e+04,2.777e+03,2.144e+02,3.057e+04
129.0,3.018e+04,3.300e+03,2.148e+02,3.369e+04
130.5,3.360e+04,3.804e+03,2.057e+02,3.761e+04
132.1,3.226e+04,3.794e+03,1.785e+02,3.624e+04
133.6,1.563e+04,2.786e+03,1.654e+02,1.858e+04
135.1,7.035e+03,2.385e+03,1.808e+02,9.600e+03
136.7,7.367e+03,2.299e+03,1.915e+02,9.858e+03
138.2,1.005e+04,2.017e+03,1.970e+02,1.226e+04
139.7,1.399e+04,1.741e+03,2.007e+02,1.594e+04
141.3,1.729e+04,1.488e+03,2.104e+02,1.898e+04
142.8,1.929e+04,1.497e+03,2.160e+02,2.100e+04
144.4,1.802e+04,1.514e+03,2.213e+02,1.975e+04
145.9,1.672e+04,1.356e+03,2.190e+02,1.830e+04
147.4,1.893e+04,1.329e+03,2.033e+02,2.047e+04
149.0,2.208e+04,1.411e+03,2.315e+02,2.372e+04
150.5,2.517e+04,1.621e+03,2.547e+02,2.705e+04
152.0,2.974e+04,1.528e+03,2.558e+02,3.152e+04
153.6,3.351e+04,1.264e+03,2.565e+02,3.503e+04
155.1,3.768e+04,1.148e+03,2.606e+02,3.909e+04
156.6,4.499e+04,1.066e+03,3.123e+02,4.637e+04
158.2,5.827e+04,1.087e+03,4.092e+02,5.977e+04
159.7,7.728e+04,1.157e+03,4.848e+02,7.892e+04
161.2,9.044e+04,1.157e+03,5.008e+02,9.210e+04
162.8,9.368e+04,1.092e+03,4.532e+02,9.522e+04
164.3,9.654e+04,1.114e+03,4.029e+02,9.806e+04
165.8,9.975e+04,1.232e+03,3.738e+02,1.014e+05
167.4,9.893e+04,1.218e+03,3.344e+02,1.005e+05
168.9,9.719e+04,1.153e+03,3.007e+02,9.864e+04
170.5,9.883e+04,1.186e+03,2.837e+02,1.003e+05
172.0,9.956e+04,1.279e+03,2.687e+02,1.011e+05
173.5,1.034e+05,1.389e+03,2.509e+02,1.051e+05
175.1,1.093e+05,1.446e+03,2.261e+02,1.109e+05
176.6,1.116e+05,1.470e+03,2.283e+02,1.133e+05
178.1,1.081e+05,1.512e+03,2.195e+02,1.098e+05
179.7,1.077e+05,1.566e+03,1.998e+02,1.095e+05
181.2,1.122e+05,1.669e+03,1.992e+02,1.141e+05
182.7,1.174e+05,1.710e+03,1.955e+02,1.193e+05
184.3,1.172e+05,1.708e+03,1.828e+02,1.191e+05
185.8,1.143e+05,1.736e+03,1.708e+02,1.162e+05
187.3,1.094e+05,1.756e+03,1.650e+02,1.113e+05
188.9,1.008e+05,1.797e+03,1.503e+02,1.028e+05
190.4,9.127e+04,1.803e+03,1.178e+02,9.319e+04
192.0,8.286e+04,1.739e+03,8.519e+01,8.469e+04
193.5,7.862e+04,1.740e+03,7.367e+01,8.043e+04
195.0,7.404e+04,1.759e+03,6.639e+01,7.587e+04
196.6,7.137e+04,1.899e+03,7.282e+01,7.334e+04
198.1,7.104e+04,1.815e+03,9.039e+01,7.294e+04
199.6,6.966e+04,2.076e+03,1.014e+02,7.184e+04
