freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.154e+02,3.928e+02,9.042e+01,5.986e+02
1.5,5.163e+02,2.967e+02,7.518e+01,8.882e+02
3.1,6.201e+02,1.284e+02,3.431e+01,7.828e+02
4.6,5.528e+02,3.830e+02,3.612e+01,9.719e+02
6.1,5.280e+02,1.137e+03,3.993e+01,1.705e+03
7.7,5.628e+02,1.910e+03,4.368e+01,2.516e+03
9.2,5.172e+02,2.705e+03,4.805e+01,3.270e+03
10.7,5.085e+02,3.576e+03,6.305e+01,4.148e+03
12.3,5.590e+02,5.088e+03,8.505e+01,5.732e+03
13.8,5.400e+02,6.931e+03,1.155e+02,7.587e+03
15.4,5.585e+02,8.616e+03,1.620e+02,9.337e+03
16.9,5.704e+02,1.105e+04,1.734e+02,1.180e+04
18.4,5.637e+02,1.394e+04,2.673e+02,1.477e+04
20.0,5.600e+02,1.644e+04,2.732e+02,1.727e+04
21.5,5.434e+02,2.038e+04,2.731e+02,2.120e+04
23.0,5.849e+02,2.527e+04,3.463e+02,2.620e+04
24.6,6.234e+02,3.147e+04,5.693e+02,3.266e+04
26.1,5.605e+02,3.933e+04,1.100e+03,4.099e+04
27.6,5.371e+02,4.550e+04,1.850e+03,4.788e+04
29.2,5.309e+02,5.152e+04,3.141e+03,5.519e+04
30.7,5.776e+02,6.382e+04,5.600e+03,7.000e+04
32.2,5.873e+02,8.182e+04,9.918e+03,9.233e+04
33.8,7.559e+02,9.139e+04,2.185e+04,1.140e+05
35.3,1.078e+03,1.420e+05,6.481e+04,2.079e+05
36.8,1.057e+03,3.232e+05,1.233e+05,4.475e+05
38.4,1.437e+03,4.291e+05,1.447e+05,5.752e+05
39.9,1.872e+03,4.350e+05,1.462e+05,5.831e+05
41.5,2.355e+03,3.558e+05,1.352e+05,4.933e+05
43.0,2.917e+03,3.594e+05,1.328e+05,4.951e+05
44.5,3.801e+03,5.952e+05,1.593e+05,7.583e+05
46.1,5.103e+03,8.205e+05,1.839e+05,1.010e+06
47.6,5.611e+03,7.603e+05,1.758e+05,9.418e+05
49.1,5.120e+03,6.129e+05,1.515e+05,7.696e+05
50.7,4.443e+03,4.709e+05,1.202e+05,5.956e+05
52.2,3.111e+03,3.491e+05,9.197e+04,4.442e+05
53.7,2.032e+03,2.629e+05,7.188e+04,3.368e+05
55.3,2.138e+03,2.160e+05,5.630e+04,2.744e+05
56.8,3.346e+03,1.960e+05,4.398e+04,2.434e+05
58.3,5.131e+03,2.005e+05,3.837e+04,2.440e+05
59.9,6.132e+03,2.040e+05,3.474e+04,2.448e+05
61.4,5.872e+03,1.984e+05,3.171e+04,2.360e+05
62.9,5.132e+03,1.980e+05,2.994e+04,2.331e+05
64.5,4.531e+03,2.009e+05,2.888e+04,2.343e+05
66.0,4.079e+03,1.872e+05,2.630e+04,2.176e+05
67.6,3.538e+03,1.608e+05,2.246e+04,1.868e+05
69.1,3.130e+03,1.283e+05,1.827e+04,1.497e+05
70.6,3.537e+03,1.035e+05,1.686e+04,1.239e+05
72.2,6.446e+03,8.413e+04,1.747e+04,1.080e+05
73.7,8.468e+03,6.621e+04,1.821e+04,9.289e+04
75.2,7.338e+03,5.452e+04,1.661e+04,7.847e+04
76.8,6.131e+03,5.428e+04,1.514e+04,7.555e+04
78.3,5.383e+03,6.148e+04,1.421e+04,8.107e+04
79.8,4.615e+03,7.004e+04,1.425e+04,8.891e+04
81.4,3.503e+03,7.713e+04,1.498e+04,9.562e+04
82.9,3.162e+03,8.711e+04,1.547e+04,1.057e+05
84.4,3.141e+03,1.000e+05,1.493e+04,1.181e+05
86.0,3.489e+03,1.098e+05,1.304e+04,1.264e+05
87.5,4.010e+03,1.190e+05,1.041e+04,1.334e+05
89.0,4.576e+03,1.355e+05,7.594e+03,1.477e+05
90.6,5.217e+03,1.595e+05,5.172e+03,1.699e+05
92.1,5.575e+03,1.755e+05,3.785e+03,1.848e+05
93.7,4.737e+03,1.806e+05,3.507e+03,1.888e+05
95.2,4.090e+03,1.920e+05,3.439e+03,1.996e+05
96.7,4.207e+03,2.080e+05,3.997e+03,2.162e+05
98.3,4.264e+03,2.305e+05,5.024e+03,2.398e+05
99.8,4.376e+03,2.503e+05,6.307e+03,2.610e+05
101.3,3.754e+03,2.668e+05,7.149e+03,2.777e+05
102.9,3.435e+03,2.796e+05,7.840e+03,2.909e+05
